	title	authors	average_rating	isbn	isbn13	language_code	  num_pages	ratings_count	publication_date	publisher
76	Power of an Hour: Business and Life Mastery in One Hour a Week	Dave Lakhani	3.34	0471780936	9780471780939.0	eng	205.0	174.0	5/19/2006	Wiley
77	The Power of One: The Solo Play for Playwrights  Actors  and Directors	Louis E. Catron	3.67	0325001537	9780325001531.0	eng	240.0	10.0	2/7/2000	Heinemann Drama
78	How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days	Adam Ginsberg	3.48	006076287X	9780060762872.0	eng	336.0	76.0	5/3/2005	William Morrow Paperbacks
79	eBay for Dummies	Marsha Collier	3.5	0470045299	9780470045299.0	eng	386.0	111.0	10/30/2006	Wiley
80	What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond	Chris Malta/Lisa Suttora	3.62	0072262788	9780072262780.0	eng	260.0	24.0	1/24/2006	McGraw-Hill
81	Starting an eBay Business for Dummies	Marsha Collier	3.55	0764569244	9780764569241.0	eng	384.0	55.0	9/17/2004	Wiley
82	eBay: Top 100 Simplified Tips & Tricks	Julia Wilkinson	4.27	0471933821	9780471933823.0	eng	260.0	9.0	6/6/2006	Wiley
83	ebay Timesaving Techniques for Dummies	Marsha Collier	3.39	0764559915	9780764559914.0	en-US	391.0	22.0	5/31/2004	Wiley
84	eBay Business All-in-One Desk Reference for Dummies	Marsha Collier	3.89	0764584383	9780764584381.0	en-US	864.0	17.0	4/25/2005	Wiley
85	Ruby Cookbook	Lucas Carlson/Leonard Richardson	3.84	0596523696	9780596523695.0	eng	873.0	166.0	7/29/2006	O'Reilly Media
86	Ruby Ann's Down Home Trailer Park Cookbook	Ruby Ann Boxcar	4.12	0806523492	9780806523491.0	eng	240.0	50.0	5/3/2005	Citadel
87	Ruby Ann's Down Home Trailer Park BBQin' Cookbook	Ruby Ann Boxcar	4.08	0806525363	9780806525365.0	eng	206.0	13.0	5/3/2005	Citadel
88	Rails Cookbook: Recipes for Rapid Web Development with Ruby	Rob Orsini	3.48	0596527314	9780596527310.0	eng	514.0	64.0	1/1/2007	O'Reilly Media
89	Anna Karenina	Leo Tolstoy/Richard Pevear/Larissa Volokhonsky	4.05	0143035002	9780143035008.0	eng	838.0	16643.0	5/31/2004	Penguin Classics
90	Anna Karenina	Leo Tolstoy/David Magarshack/Priscilla Meyer	4.05	0451528611	9780451528612.0	eng	960.0	109420.0	11/5/2002	Signet
91	Anna Karenina	Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley	4.05	0140449175	9780140449174.0	eng	837.0	2904.0	1/30/2003	Penguin Books
92	CliffsNotes on Tolstoy's Anna Karenina	Marianne Sturman/Leo Tolstoy	3.85	0822001837	9780822001836.0	eng	80.0	16.0	11/26/1965	Cliffs Notes
93	Anna Karenina	Leo Tolstoy/Amy Mandelker/Constance Garnett	4.05	1593080271	9781593080273.0	eng	803.0	9564.0	7/1/2003	Barnes & Noble Classics
94	Anna Karenina	Leo Tolstoy/Louise Maude/Aylmer Maude	4.05	0486437965	9780486437965.0	eng	752.0	474.0	11/23/2004	Dover Publications
95	Anna Karenina	Leo Tolstoy/Constance Garnett/Amy Mandelker	4.05	1593081774	9781593081775.0	eng	803.0	303.0	8/26/2004	Barnes & Noble
96	Dinner with Anna Karenina	Gloria Goldreich	2.99	0778322270	9780778322276.0	eng	360.0	411.0	1/28/2006	Mira Books
97	Tolstoy: Anna Karenina	Anthony Thorlby	4.19	0521313252	9780521313254.0	eng	128.0	1204.0	11/26/1987	Cambridge University Press
98	Untouchable	Mulk Raj Anand/E.M. Forster	3.71	0140183957	9780140183955.0	eng	160.0	3429.0	7/3/1990	Penguin Books
99	The Untouchable	John Banville	3.95	0679767479	9780679767473.0	eng	367.0	2163.0	6/30/1998	Vintage
100	The Untouchables	Eliot Ness/Oscar Fraley	3.89	1568491980	9781568491981.0	eng	256.0	613.0	2/1/1996	Buccaneer Books
101	Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India	Narendra Jadhav	3.82	0743270797	9780743270793.0	en-US	320.0	308.0	9/27/2005	Scribner
102	Dalit: The Black Untaouchables of India	V.T. Rajshekar/Y.N. Kly	4.2	0932863051	9780932863058.0	eng	100.0	10.0	1/28/1995	Clarity Press
103	Growing Up Untouchable in India: A Dalit Autobiography	Vasant Moon/Gail Omvedt/Eleanor Zelliot	3.65	0742508803	9780742508804.0	eng	224.0	16.0	12/20/2000	Rowman & Littlefield Publishers
104	The Evidence-Based Social Work Skills Book	Barry R. Cournoyer	3.4	0205358624	9780205358625.0	eng	216.0	10.0	9/22/2003	Pearson
106	Wrinkles in Time	George Smoot/Keay Davidson	4.01	0380720442	9780380720446.0	eng	360.0	1035.0	10/1/1994	Harper Perennial
107	A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1)	Madeleine L'Engle	4.0	0821925326	9780821925324.0	eng	250.0	36.0	5/1/2002	EMC/Paradigm Publishing
108	Literature Circle Guide: A Wrinkle in Time	Tara MacCarthy	3.6	043927169X	9780439271691.0	eng	32.0	15.0	1/1/2002	Teaching Resources
110	The Long Shadow (The Morland Dynasty  #6)	Cynthia Harrod-Eagles	4.12	0751506435	9780751506433.0	eng	367.0	376.0	6/1/1994	Little  Brown Book Group
111	A Long Shadow (Inspector Ian Rutledge  #8)	Charles Todd	4.11	006078671X	9780060786717.0	eng	352.0	3086.0	1/3/2006	William Morrow
112	Long Way Round: Chasing Shadows Across the World	Ewan McGregor/Charley Boorman/Robert Uhlig	3.94	0743499344	9780743499347.0	en-US	320.0	352.0	11/1/2005	Atria Books
113	A Shadow in Summer (Long Price Quartet  #1)	Daniel Abraham	3.6	0765313405	9780765313409.0	eng	331.0	9852.0	3/7/2006	Tor Books
114	New Hope for the Dead (Hoke Mosely #2)	Charles Willeford/James Lee Burke	3.9	1400032490	9781400032495.0	eng	244.0	821.0	8/10/2004	Vintage Crime/Black Lizard
115	Sideswipe: A Hoke Moseley Novel	Charles Willeford/Lawrence Block	4.05	1400032482	9781400032488.0	eng	215.0	731.0	3/8/2005	Vintage Crime/Black Lizard
116	Miami Blues (Hoke Moseley #1)	Charles Willeford/Elmore Leonard	3.94	1400032466	9781400032464.0	eng	191.0	2897.0	8/10/2004	Vintage Crime/Black Lizard
117	The Burnt Orange Heresy (Vintage Crime/Black Lizard)	Charles Willeford	3.89	0679732527	9780679732525.0	eng	144.0	98.0	10/3/1990	Vintage
118	I am Charlotte Simmons	Tom Wolfe	3.42	0312424442	9780312424442.0	eng	738.0	20888.0	8/30/2005	Picador USA
119	Poetry for Young People: Edward Lear	Edward Lear/Laura Huliska-Beith/Edward Mendelson	3.91	0806930772	9780806930770.0	eng	48.0	66.0	10/1/2001	Sterling
120	The Puffin Book of Nonsense Verse	Quentin Blake	4.02	0140366601	9780140366600.0	eng	287.0	81.0	10/3/1996	Puffin
121	Henry Miller on Writing	Henry Miller/Thomas H. Moore	4.22	0811201120	9780811201124.0	eng	217.0	981.0	2/1/1964	New Directions Publishing
122	Quiet Days in Clichy	Henry Miller	3.69	080213016X	9780802130167.0	eng	154.0	3381.0	1/13/1994	Grove Press
124	Tropic of Capricorn	Henry Miller	3.78	0802151825	9780802151827.0	eng	348.0	14872.0	1/13/1994	Grove Press
125	Nexus (The Rosy Crucifixion  #3)	Henry Miller	4.1	0802151787	9780802151780.0	eng	316.0	3261.0	1/13/1994	Grove Press
126	Sexus (The Rosy Crucifixion  #1)	Henry Miller	3.98	0802151809	9780802151803.0	eng	506.0	7805.0	1/12/1994	Grove Press
127	The Air-Conditioned Nightmare	Henry Miller	3.83	0811201066	9780811201063.0	eng	292.0	2699.0	1/17/1970	New Directions
128	The Portrait of a Lady	Henry James/Patricia Crick	3.78	0141439637	9780141439631.0	eng	797.0	61640.0	9/30/2003	Penguin Classics
129	The Portrait of a Lady	Henry James/Gabriel Brownstein/Mary Cregan	3.78	1593080964	9781593080969.0	eng	635.0	392.0	1/16/2004	Barnes  Noble Classics
130	Writing	Marguerite Duras	3.75	1571290532	9781571290533.0	eng	91.0	778.0	5/6/1999	Brookline Books
131	The War	Marguerite Duras/Barbara Bray	3.85	1565842219	9781565842212.0	eng	192.0	963.0	8/1/1994	The New Press
132	The Ravishing of Lol Stein	Marguerite Duras/Richard Seever	3.66	0394743040	9780394743042.0	en-US	181.0	2057.0	3/12/1986	Pantheon
133	Love Letters	Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari	3.68	1851681825	9781851681822.0	eng	178.0	203.0	7/1/1999	One World (UK)
135	The Beloved: Reflections on the Path of the Heart	Kahlil Gibran/John Walbridge/Robin Waterfield	4.19	014019553X	9780140195538.0	eng	102.0	328.0	1/1/1998	Penguin Books
139	Treasure Island	Robert Louis Stevenson	3.83	0753453800	9780753453803.0	eng	311.0	318753.0	9/15/2001	Kingfisher
140	Treasure Island	Robert Louis Stevenson/Scott McKowen	3.83	1402714572	9781402714573.0	en-US	213.0	420.0	10/1/2004	Sterling Children's Books
141	Treasure Island	Robert Louis Stevenson	3.83	1416500294	9781416500292.0	eng	245.0	5967.0	6/1/2005	Simon & Schuster
142	Treasure Island	Robert Louis Stevenson/N.C. Wyeth/Timothy Meis	3.83	0689854684	9780689854682.0	eng	64.0	104.0	7/1/2003	Atheneum Books for Young Readers
143	Treasure Island	Robert Louis Stevenson/Milo Winter	3.83	0517221144	9780517221143.0	en-US	272.0	56.0	9/3/2002	Gramercy Books
144	Treasure Island (Great Illustrated Classics)	Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson	4.05	1577658051	9781577658054.0	eng	232.0	91.0	1/31/2006	Abdo Publishing Company
145	100 Years of Lynchings	Ralph Ginzburg	4.61	0933121180	9780933121188.0	eng	270.0	88.0	11/22/1996	Black Classic Press
147	On Beyond Zebra!	Dr. Seuss	4.04	0394800842	9780394800844.0	eng	64.0	2815.0	9/12/1955	Random House Books for Young Readers
148	The Wedding Clause	Debbie Raleigh	3.6	0821778250	9780821778258.0	eng	256.0	95.0	6/7/2005	Zebra
149	The Zebra Wall	Kevin Henkes	3.44	0060733039	9780060733032.0	eng	147.0	217.0	2/15/2005	Greenwillow Books
151	The Door Into Summer	Robert A. Heinlein	4.01	0345413997	9780345413994.0	eng	304.0	17232.0	6/17/1997	Del Rey
152	Stranger in a Strange Land	Robert A. Heinlein	3.92	0441788386	9780441788385.0	eng	528.0	251872.0	10/1/1991	Ace
153	To Sail Beyond the Sunset	Robert A. Heinlein	3.87	0441748600	9780441748600.0	en-US	434.0	10293.0	6/1/1988	Ace Books
154	Job: A Comedy of Justice	Robert A. Heinlein	3.78	0345316509	9780345316509.0	en-US	439.0	15970.0	10/12/1985	Del Rey
155	Time for the Stars (Heinlein's Juveniles  #10)	Robert A. Heinlein	3.97	0765314932	9780765314932.0	eng	256.0	6898.0	8/8/2006	Tor Books
156	The Long Dark Tea-Time of the Soul (Dirk Gently  #2)	Douglas Adams	4.06	0671742515	9780671742515.0	en-US	307.0	67803.0	2/15/1991	Pocket Books
157	The Salmon of Doubt (Dirk Gently  #3)	Douglas Adams	3.93	0345455290	9780345455291.0	eng	298.0	22091.0	4/26/2005	Del Rey
158	Wish You Were Here: The Official Biography of Douglas Adams	Nick  Webb	4.14	0345476514	9780345476517.0	eng	368.0	2623.0	12/27/2005	Del Rey
159	Douglas Adams's Starship Titanic	Terry Jones	3.6	0345368436	9780345368430.0	eng	256.0	885.0	10/27/1998	Ballantine Books
160	Salmon of Doubt: Hitchhiking the Galaxy One Last Time	Douglas Adams/Christopher Cerf	3.93	1417622857	9781417622856.0	eng	336.0	5.0	7/1/2003	Turtleback Books
161	The Phantom Tollbooth: A Children's Play in Two Acts	Susan Nanus/Norton Juster	4.13	0573650969	9780573650963.0	eng	72.0	100.0	1/12/2011	Samuel French  Inc.
162	On Bullshit	Harry G. Frankfurt	3.57	0691122946	9780691122946.0	eng	67.0	9358.0	1/30/2005	Princeton University Press
163	Another Bullshit Night in Suck City	Nick Flynn	3.78	0393329402	9780393329407.0	eng	347.0	9318.0	9/12/2005	W. W. Norton & Company
164	Lincoln at Gettysburg: The Words That Remade America	Garry Wills	4.14	0671867423	9780671867423.0	en-US	317.0	120.0	6/12/1993	Simon & Schuster
165	The Gettysburg Address	Abraham Lincoln/Michael McCurdy	4.53	0395883970	9780395883976.0	eng	32.0	5239.0	2/2/1998	HMH Books for Young Readers
166	Underworld	Don DeLillo	3.92	0684848155	9780684848150.0	eng	827.0	1505.0	7/9/1998	Scribner
167	Libra	Don DeLillo	3.99	0140156046	9780140156041.0	eng	480.0	11857.0	5/1/1991	Penguin
168	Americana	Don DeLillo	3.43	0140119485	9780140119480.0	eng	377.0	393.0	7/6/1989	Penguin Books
169	Running Dog	Don DeLillo	3.43	0679722947	9780679722946.0	eng	256.0	1356.0	7/17/1989	Vintage Contemporaries
170	Cosmopolis	Don DeLillo	3.22	0743244257	9780743244251.0	eng	224.0	460.0	4/6/2004	Scribner
171	Great Jones Street	Don DeLillo	3.48	0140179178	9780140179170.0	eng	272.0	2492.0	1/1/1994	Penguin Books
172	The Names	Don DeLillo	3.64	0679722955	9780679722953.0	eng	339.0	3100.0	7/17/1989	Vintage
173	Against the Day	Thomas Pynchon	4.13	159420120X	9781594201202.0	eng	1085.0	5296.0	11/21/2006	Penguin Press
174	V.	Thomas Pynchon	3.96	0060930217	9780060930219.0	eng	547.0	1415.0	7/5/2005	Harper Perennial Modern Classics
175	The Crying of Lot 49	Thomas Pynchon	3.69	0060931671	9780060931674.0	eng	152.0	2161.0	4/1/1999	Harper Perennial
176	Gravity's Rainbow	Thomas Pynchon	4.01	0140283382	9780140283389.0	eng	784.0	762.0	1/1/2000	Penguin Books
177	Mason & Dixon	Thomas Pynchon/Christophe Claro/Brice Matthieussent	4.07	0312423209	9780312423209.0	eng	773.0	8086.0	1/3/2004	Picador USA
178	Vineland	Thomas Pynchon	3.69	0141180633	9780141180632.0	en-US	385.0	702.0	9/1/1997	Penguin Classics
179	Gravity's Rainbow	Thomas Pynchon	4.01	0143039946	9780143039945.0	eng	776.0	29764.0	10/31/2006	Penguin Books
180	Slow Learner: Early Stories	Thomas Pynchon	3.5	0316724432	9780316724432.0	eng	193.0	334.0	4/30/1985	Back Bay Books
182	The Year of Magical Thinking	Joan Didion	3.89	140004314X	9781400043149.0	en-US	227.0	2656.0	10/4/2005	Knopf Publishing Group
183	The White Album	Joan Didion	4.17	0374522219	9780374522216.0	eng	222.0	11889.0	10/1/1990	Farrar Straus Giroux
184	A Book of Common Prayer	Joan Didion	3.8	0679754865	9780679754862.0	eng	272.0	2962.0	4/11/1995	Vintage International
185	Where I Was From	Joan Didion	3.86	0679752862	9780679752868.0	eng	240.0	2842.0	9/14/2004	Vintage
186	Slouching Towards Bethlehem	Joan Didion	4.21	0374521727	9780374521721.0	eng	238.0	26934.0	10/1/1990	Farrar Straus Giroux
187	Democracy	Joan Didion	3.81	0679754857	9780679754855.0	en-US	234.0	2070.0	4/25/1995	Vintage International
188	We Tell Ourselves Stories in Order to Live: Collected Nonfiction	Joan Didion/John Leonard	4.5	0307264874	9780307264879.0	eng	1122.0	1564.0	10/17/2006	Everyman's Library
189	Play It As It Lays	Joan Didion/David Thomson	3.87	0374529949	9780374529949.0	eng	231.0	23656.0	11/15/2005	Farrar  Straus and Giroux
190	The New York Trilogy	Paul Auster/Art Spiegelman/Luc Sante	3.89	0143039830	9780143039839.0	eng	308.0	43200.0	3/28/2006	Penguin Classics
191	City of Glass (The New York Trilogy  #1)	Paul Auster	3.79	0140097317	9780140097313.0	eng	203.0	12410.0	4/7/1987	Penguin Books
192	Ghosts (The New York Trilogy  #2)	Paul Auster	3.64	014009735X	9780140097351.0	eng	96.0	3672.0	7/7/1987	Penguin Books
193	The Locked Room (The New York Trilogy  #3)	Paul Auster	3.89	0940650762	9780940650763.0	eng	179.0	2998.0	11/1/1986	Sun and Moon Press
194	Pyramids of Montauk: Explorations in Consciousness	Peter Moon/Preston B. Nichols/Nina Helms	3.89	0963188925	9780963188922.0	eng	256.0	74.0	1/1/1995	Sky Books (NY)
195	The Brooklyn Follies	Paul Auster	3.84	0312426232	9780312426231.0	eng	306.0	17977.0	10/17/2006	Picador
196	Moon Palace	Paul Auster	3.94	0140115854	9780140115857.0	eng	320.0	16099.0	4/1/1990	Penguin Books
197	The Music of Chance	Paul Auster	3.9	0140154078	9780140154078.0	en-US	217.0	361.0	12/1/1991	Penguin Books
